File Directory,Category,Description,Shape,BGColour,BDColour,Text,Symbol1,Symbol2,DGNo,JPG
information-signs,Information signs,Goods vehicles may be directed to leave the motorway at the junction ahead,Rectangular,Yellow,Grey/Black,Other,Vehicle (Car/Tram/Truck),None,832.3,832.3.jpg
information-signs,Information signs,Goods vehicles and buses may be directed to leave the motorway at the junction ahead,Rectangular,Yellow,Grey/Black,Other,Vehicle (Car/Tram/Truck),None,832.3,823.3V.jpg
information-signs,Information signs,Waiting place at a lay-by or observation platform for police vehicles only,Rectangular,Blue,White,Vehicle,None,None,829.6,829.6.jpg
information-signs,Information signs,Accident ahead and consequent need to proceed with caution,Rectangular,Blue,White,Other,None,None,829.2,829.2.jpg
information-signs,Information signs,End of temporary permission for traffic to use the hard shoulder,Rectangular,Blue,White,Other,None,None,829.4,829.4.jpg
information-signs,Information signs,Potential danger temporarily ahead and consequent need to proceed with caution,Rectangular,Blue,White,Other,None,None,829.1,829.1.jpg
information-signs,Information signs,Area where police carry out checks on the speed of vehicles,Rectangular,Blue,White,Other,None,None,829.5,829.5.jpg
information-signs,Information signs,Traffic should use the hard shoulder in an emergency,Rectangular,Blue,White,Other,None,None,829.3,829.3.jpg
information-signs,Information signs,Vehicle emissions check point ahead,Rectangular,Blue,White,Vehicle,Other,None,831.2,831.2V.jpg
information-signs,Information signs,Vehicle excise licence check point ahead,Rectangular,Blue,White,Vehicle,Other,None,831.2,831.2.jpg
information-signs,Information signs,Vehicle and Operator Services Agency check point ahead,Rectangular,Blue,White,Vehicle,None,None,832.11,832.1A.jpg
information-signs,Information signs,Location of traffic survey,Rectangular,Blue,White,Other,None,None,832,832.jpg
information-signs,Information signs,Vehicles may be directed to stop at a traffic survey ahead,Rectangular,Blue,White,Other,None,None,830.1,830.1.jpg
information-signs,Information signs,"Entrance to a car park, private access road or property",Rectangular,Blue,White,Other,None,None,833,833.jpg
information-signs,Information signs,Permanent change to the road layout ahead,Rectangular,Red,White,Other,None,None,7014,7014.jpg
information-signs,Information signs,"Entry to a car park, private access road or property from a public road not allowed",Rectangular,Blue,White,Other,None,None,836,836.jpg
information-signs,Information signs,"Exit from a car park, private access road or property from a public road not allowed",Rectangular,Blue,White,Other,None,None,835,835.jpg
information-signs,Information signs,"Exit from a car park, private access road or property",Rectangular,Blue,White,Other,None,None,834,834.jpg
information-signs,Information signs,Vehicles should reduce speed on approaching a traffic survey ahead,Rectangular,Blue,White,Other,None,None,831,831.jpg
information-signs,Information signs,Vehicles must stop at a census traffic point,Rectangular,Blue,White,Other,None,None,830,830.jpg
level-crossing-signs,Level crossing signs,Drivers of large or slow vehicles must stop and telephone before using an automatic railway or tramway crossing,Rectangular,Blue,White,Vehicle,None,None,784.1,784.1.jpg
level-crossing-signs,Level crossing signs,Drivers of long low vehicles must telephone to obtain permission before using a railway or tramway level crossing,Rectangular,Blue,White,Vehicle,None,None,783,783.jpg
level-crossing-signs,Level crossing signs,Electrified overhead cable ahead,Triangular,White,Red,None,Other,None,779,779.jpg
level-crossing-signs,Level crossing signs,Risk of grounding at a railway or tramway level crossing or hump backed bridge,Triangular,White,Red,Other,Vehicle (Car/Tram/Truck),None,782,782.jpg
level-crossing-signs,Level crossing signs,Level crossing with gate or barrier ahead,Triangular,White,Red,None,Other,None,770,770.jpg
level-crossing-signs,Level crossing signs,Railway level crossing without gate or barrier ahead,Triangular,White,Red,None,Vehicle (Car/Tram/Truck),None,771,771.jpg
level-crossing-signs,Level crossing signs,Safe height beneath electrified overhead cable ahead,Rectangular,White,Grey/Black,Number (Other),None,None,780.01,780A.jpg
level-crossing-signs,Level crossing signs,Warning of light signals at a level crossing without a gate or barrier ahead,Rectangular,White,Grey/Black,Other,Other,None,773,773.jpg
level-crossing-signs,Level crossing signs,Load gauge giving audible warning to drivers where vehicle exceeds safe height under electrified overhead cables,Other,White,Grey/Black,Other,Other,Other,781,781.jpg
level-crossing-signs,Level crossing signs,"Level crossing ahead is crossed by more than one railway or tramway track, and more than one train or tramcar may pass over it in quick succession",Rectangular,White,Grey/Black,Other,None,None,777,777.jpg
level-crossing-signs,Level crossing signs,Direction to emergency telephone or telephone at or near a railway or tramway level crossing,Rectangular,Yellow,Grey/Black,None,Arrow,Other,788,788.jpg
level-crossing-signs,Level crossing signs,Light signal at level crossing for pedestrians,,,,,,,4006,4006.jpg
level-crossing-signs,Level crossing signs,Site of emergency telephone or telephone at or near a railway or tramway level crossing,Rectangular,Yellow,Grey/Black,None,Other,None,787,787.jpg
level-crossing-signs,Level crossing signs,New method of controlling traffic at a railway or tramway level crossing ahead,Rectangular,Red,White,Other,None,None,790,790.jpg
level-crossing-signs,Level crossing signs,Countdown marker to railway or tramway level crossing,Rectangular,White,Grey/Black,None,Other,Other,789,789.2.jpg
level-crossing-signs,Level crossing signs,Countdown marker to railway or tramway level crossing,Rectangular,White,Grey/Black,None,Other,Other,789,789.1.jpg
level-crossing-signs,Level crossing signs,Countdown marker to railway or tramway level crossing,Rectangular,White,Grey/Black,None,Other,Other,789,789.jpg
level-crossing-signs,Level crossing signs,"Place where drivers of large or slow, or long low vehicles should park near a level crossing while contacting the signal operator",Rectangular,White,Grey/Black,Other,None,None,786,786.jpg
level-crossing-signs,Level crossing signs,Another train or tramcar may be about to pass over the level crossing,Circular,Red,White,Other,None,None,776,776.jpg
level-crossing-signs,"Level crossing signs, Tram signs",Location of railway or tramway level crossing without a gate or barrier,Other,White,Red,None,Other,None,774,774.jpg
level-crossing-signs,"Level crossing signs, Tram signs",Vehicular traffic must not stop within the area of a railway or tramway level crossing,Rectangular,White,Grey/Black,Other,None,None,775,775.jpg
level-crossing-signs,Level crossing signs,Open railway level crossing without light signals,Rectangular,White,Grey/Black,None,Vehicle (Car/Tram/Truck),None,778,778.jpg
low-bridge-signs,Low bridge signs,Vehicles exceeding 14'-6'' in height prohibited,Circular,White,Red,Number (Other),None,None,629.2,629.2.jpg
low-bridge-signs,Low bridge signs,Vehicles exceeding height indicated are prohibited. Height is displayed in both metric and imperial units,Circular,White,Red,Number (Other),None,None,629.21,629.2A.jpg
low-bridge-signs,Low bridge signs,Advance warning of a mandatory height restriction ahead,Rectangular,Blue,White,Number (Distance),Other,None,818.3,818.3.jpg
low-bridge-signs,Low bridge signs,Maximum headroom of 14'-6'' at hazard ahead,Triangular,White,Red,Number (Other),Other,None,530,530.jpg
low-bridge-signs,Low bridge signs,Maximum headroom of 4.4m at hazard ahead,Triangular,White,Red,Number (Other),Other,None,530,530M.jpg
low-bridge-signs,Low bridge signs,High vehicles to use middle of road at arch bridge ahead,Rectangular,White,Grey/Black,Vehicle,None,None,531.2,531.2.jpg
low-bridge-signs,Low bridge signs,Maximum headroom of 12'-6'' at arch bridge ahead,Triangular,White,Red,Number (Other),Other,Other,531.1,531.1.jpg
low-bridge-signs,Low bridge signs,Maximum headroom of 3.8m at arch bridge ahead,Triangular,White,Red,Number (Other),Other,Other,531.1,531.1M.jpg
low-bridge-signs,Low bridge signs,Reduced headroom over part of road due to overhanging building ahead,Rectangular,White,Grey/Black,Other,None,None,530.1,530.1.jpg
miscellaneous,Miscellaneous,Road (congestion) charge zone reminder,Rectangle,White,Grey black,None,Congestino Charging,None,1,NS67.jpg
motorway-signs,Motorway signs,"Direction to a motorway at the junction shown, indicating route number",Rectangular,Blue,White,Number (Route),Arrow,Other,2902.1,2902.1.jpg
motorway-signs,Motorway signs,"Direction to a motorway at the junction shown, indicating route number and destination reached along the motorway",Rectangular,Blue,White,Number (Route),Arrow,Other,2902,2902.jpg
motorway-signs,Motorway signs,Number of route reached from a motorway exit road,Rectangular,Blue,White,Number (Route),Arrow,Other,2910,2910.jpg
motorway-signs,Motorway signs,Number of route reached from a motorway exit road,Rectangular,Blue,White,Number (Route),Arrow,Other,2910.1,2910.1.jpg
motorway-signs,Motorway signs,100 yards to a roundabout or the next point at which traffic may leave a route,Rectangular,Blue,White,None,Other,Other,825,825.jpg
motorway-signs,Motorway signs,200 yards to a roundabout or the next point at which traffic may leave a route,Rectangular,Blue,White,None,Other,Other,824,824.jpg
motorway-signs,Motorway signs,300 yards to a roundabout or the next point at which traffic may leave a route,Rectangular,Blue,White,None,Other,Other,823,823.jpg
motorway-signs,Motorway signs,"Motorway junction ahead, displaying the route number and destination reached by taking this route",Rectangular,Blue,White,Number (Route),Arrow,Other,2903,2903.jpg
motorway-signs,Motorway signs,"Motorway junction, displaying route number and destination reached as well as destination reached by remaining on the motorway",Rectangular,Blue,White,Number (Route),Arrow,Other,2906,2906.jpg
motorway-signs,Motorway signs,300 yards to a roundabout or the next point at which traffic may leave a route,Rectangular,Blue,White,None,Other,Other,823,823R.jpg
motorway-signs,Motorway signs,200 yards to a roundabout or the next point at which traffic may leave a route,Rectangular,Blue,White,None,Other,Other,824,824R.jpg
motorway-signs,Motorway signs,100 yards to a roundabout or the next point at which traffic may leave a route,Rectangular,Blue,White,None,Other,Other,825,825R.jpg
motorway-signs,Motorway signs,Junction ahead with another motorway,Rectangular,Blue,White,Number (Route),Other,Other,2912,2912.jpg
motorway-signs,Motorway signs,Additional traffic lane joining from the left ahead in 200 yards. Traffic on the main carriageway has priority over joining traffic,Rectangular,Blue,White,None,Arrow,None,873,873+876.jpg
motorway-signs,Motorway signs,Additional traffic lanes joining from the right ahead. Traffic on the main carriageway has priority over joining traffic,Rectangular,Blue,White,None,Arrow,None,874,874.jpg
motorway-signs,Motorway signs,Additional traffic lane joining from the left ahead,Rectangular,Green,White,None,Arrow,None,868.1,868.1M.jpg
motorway-signs,Motorway signs,Additional traffic lane joining from the right ahead,Rectangular,Green,White,None,Arrow,None,868,868M.jpg
motorway-signs,Motorway signs,Appropriate traffic lanes for different manoeuvres at a junction ahead,Rectangular,White,Grey/Black,Bus,Arrow,Arrow,877,877M.jpg
motorway-signs,Motorway signs,Motorway junction ahead leading to a town or geographical area containing several tourist attractions and a Tourist Information Point or Centre,Rectangular,Brown,White,Other,None,None,2927,2927.jpg
motorway-signs,Motorway signs,Roundabout ahead leading from a motorway exit slip road to the tourist attractions shown,Rectangular,Brown,White,Other,Other,Arrow,2925,2925.jpg
motorway-signs,Motorway signs,Junction ahead from a motorway exit slip road to the tourist attractions shown,Rectangular,Brown,White,Number (Distance),Other,Arrow,2926,2924.jpg
motorway-signs,Motorway signs,Junction ahead from a motorway exit slip road to the tourist attractions shown,Rectangular,Brown,White,Other,Other,Arrow,2924,2926.jpg
motorway-signs,Motorway signs,Exit from a motorway at a junction ahead that should be used for a tourist attraction,Rectangular,Brown,White,Other,Other,Arrow,2927.1,2927.1.jpg
motorway-signs,Motorway signs,Direction to a named service area and showing the name of the operator,Rectangular,Blue,White,Other,Arrow,None,2920.1,2920.1.jpg
motorway-signs,Motorway signs,10 miles to the next motorway service area,Rectangular,Blue,White,Number (Distance),None,None,2918,2918.jpg
motorway-signs,Motorway signs,Availability of motorway service areas ahead with distances,Rectangular,Blue,White,Number (Route),Other,Other,2917,2917V.jpg
motorway-signs,Motorway signs,Availability of motorway service areas ahead with distances and names of operators,Rectangular,Blue,White,Number (Route),Other,Other,2917,2917.jpg
motorway-signs,Motorway signs,Services are not available on motorway ahead,Rectangular,Blue,White,Number (Route),None,None,2330,2918.1.jpg
motorway-signs,Motorway signs,Entrance to a motorway service area,Rectangular,Blue,White,Other,Arrow,Other,2921,2921.jpg
motorway-signs,Motorway signs,Entrance to a motorway service area at a junction ahead on a motorway slip road,Rectangular,Blue,White,Other,Arrow,None,2921.1,2921.1.jpg
motorway-signs,Motorway signs,Direction to the nearest emergency telephone on the same side of the road,Rectangular,White,Grey/Black,None,Arrow,None,2713,2713.jpg
motorway-signs,Motorway signs,Route to be followed at a junction ahead on a motorway for destinations that are not otherwise shown on signs for that junction,Rectangular,Blue,White,Number (Route),Other,Other,2915,2915.jpg
motorway-signs,Motorway signs,County boundary sign,Rectangular,Blue,White,Other,None,None,2928,2928.jpg
motorway-signs,Motorway signs,Route number of the motorway with destinations and distances to places along or reached from that route,Rectangular,Blue,White,Number (Route),Other,Other,2911,2911.jpg
motorway-signs,Motorway signs,No hard shoulder available for 400 yards,Rectangular,Blue,White,Number (Distance),None,None,820.1,820.1.jpg
motorway-signs,Motorway signs,Entrance for works traffic only,Rectangular,Blue,White,Other,Arrow,None,2922,2922.jpg
motorway-signs,Motorway signs,Drivers should check their distance from the vehicle in front,Rectangular,Blue,White,Other,None,None,2934,2934.jpg
motorway-signs,Motorway signs,"Motorway junction ahead leading to a route advised for goods vehicles to the destination shown, which may differ from that for other traffic",Rectangular,Grey/Black,White,Other,Vehicle (Car/Tram/Truck),None,2929,2929.jpg
motorway-signs,Motorway signs,Exit from a motorway junction ahead that should be used for a destination along the route advised for goods vehicles,Rectangular,Grey/Black,White,Number (Route),Vehicle (Car/Tram/Truck),None,2929.1,2929.1.jpg
motorway-signs,Motorway signs,Drivers should keep a distance of two chevron markings from the vehicle in front,Rectangular,Blue,White,Other,Vehicle (Car/Tram/Truck),Other,2933,2933.jpg
motorway-signs,Motorway signs,Drivers should keep their distance from the vehicle in front,Rectangular,Blue,White,Other,None,None,2934,2934V.jpg
motorway-signs,Motorway signs,"End of motorway regulations, including the national speed limit in 1 mile",Rectangular,Blue,White,Number (Distance),Other,None,2930,2930.jpg
motorway-signs,Motorway signs,"End of motorway regulations, including the national speed limit",Rectangular,Blue,White,None,Other,None,2931,2931.jpg
motorway-signs,Motorway signs,"Entrance to motorway service area, or similar facility within the length of a motorway where motorway regulations cease to apply",Rectangular,Blue,White,Other,None,None,2932,2932.jpg
motorway-signs,Motorway signs,Light signal conveying the prohibition that vehicular traffic may not use the lane below the sign (gantry-mounted),,,,,,,6031.1,6031.1.jpg
motorway-signs,Motorway signs,Closure of one lane of a four lane carriageway ahead,,,,,,,6009,6009.jpg
motorway-signs,Motorway signs,Closure of one lane of a three lane carriageway ahead,,,,,,,6006,6006.jpg
motorway-signs,Motorway signs,Closure of right hand lane of a two lane carriageway ahead,,,,,,,6008,6008.jpg
motorway-signs,Motorway signs,Closure of two lanes of a three lane carriageway ahead,,,,,,,6006.1,6006.1.jpg
motorway-signs,Motorway signs,Temporary maximum speed of 50 miles per hour advised,,,,,,,6001,6001.jpg
motorway-signs,Motorway signs,Closure of all lanes of a four lane carriageway ahead,,,,,,,6009.3,6009.3.jpg
motorway-signs,Motorway signs,Closure of all lanes of a three lane carriageway ahead,,,,,,,6006.2,6006.2.jpg
motorway-signs,Motorway signs,Closure of both lanes of a two lane carriageway ahead,,,,,,,6008.1,6008.1.jpg
motorway-signs,Motorway signs,End of temporary restrictions indicated by previous signs,,,,,,,6012,6012.jpg
motorway-signs,Motorway signs,Risk of fog ahead,,,,,,,6011,6011.jpg
motorway-signs,Motorway signs,Risk of ice ahead,,,,,,,6011.1,6011.1.jpg
motorway-signs,Motorway signs,Vehicular traffic must leave at next junction,,,,,,,6003,6003.jpg
motorway-signs,Motorway signs,In 200 yards the number of lanes of traffic lanes ahead on a motorway reduces from three lanes to two. Traffic in the right hand lane must move into the lane on the immediate left,Rectangular,White,Grey/Black,None,Arrow,None,872.1,872.1M.jpg
on-street-parking,On-street parking,Parking place for buses only during the times shown,Rectangular,White,Grey/Black,Number (Other),Parking [P],Other,661.1,661.1VB.jpg
on-street-parking,On-street parking,Waiting prohibited except for loading and unloading during the period indicated,Rectangular,Yellow,Grey/Black,Number (Other),Arrow,None,639,639.jpg
on-street-parking,On-street parking,Continuous prohibition on waiting except for loading and unloading for period indicated,Rectangular,Yellow,Grey/Black,Number (Other),None,Other,637.3,637.3.jpg
on-street-parking,On-street parking,Continuous prohibition on loading and unloading,Rectangular,White,Grey/Black,Other,None,None,638,638.jpg
on-street-parking,On-street parking,Continuous prohibition on waiting except for loading and unloading,Rectangular,Yellow,Grey/Black,Number (Other),None,Other,637.3,637.3V.jpg
on-street-parking,On-street parking,Loading and unloading prohibited during the periods indicated and in the direction indicated,Rectangular,White,Grey/Black,Number (Other),Arrow,None,638.1,638.1.jpg
on-street-parking,On-street parking,Continuous prohibition on loading and unloading,Rectangular,White,Grey/Black,Other,None,None,638,638R.jpg
on-street-parking,On-street parking,"Waiting prohibited during the period and in the direction indicated (upper panel), and loading and unloading prohibited during the periods and in the direction indicated (lower panel)",Rectangular,Yellow,Grey/Black,Number (Other),Arrow,Other,640,640_peak.jpg
on-street-parking,On-street parking,"Waiting prohibited during the period indicated (upper panel), and loading and unloading prohibited during the periods indicated (lower panel)",Rectangular,Yellow,Grey/Black,Number (Other),Arrow,Other,640,640_am_pm.jpg
on-street-parking,On-street parking,"Waiting prohibited in the direction indicated (upper panel), and loading and unloading prohibited in the direction indicated (lower panel)",Rectangular,Yellow,Grey/Black,Number (Other),Arrow,Other,640,640_directions.jpg
on-street-parking,On-street parking,"Waiting prohibited during the period and in the direction indicated (upper panel), and loading and unloading prohibited during the periods and in the direction indicated (lower panel)",Rectangular,Yellow,Grey/Black,Number (Other),Arrow,Other,640,640_times_arrows.jpg
on-street-parking,On-street parking,Loading and unloading prohibited during the periods indicated,Rectangular,White,Grey/Black,Number (Other),Arrow,None,638.1,638.1NA.jpg
on-street-parking,On-street parking,Loading and unloading prohibited during the periods and in the direction indicated,Rectangular,White,Grey/Black,Number (Other),Arrow,None,638.1,638.1R.jpg
on-street-parking,On-street parking,Waiting prohibited except for loading and unloading during the times and in the direction indicated,Rectangular,Yellow,Grey/Black,Number (Other),Arrow,None,639,639TL.jpg
on-street-parking,On-street parking,Waiting prohibited except for loading and unloading during the period indicated,Rectangular,Yellow,Grey/Black,Number (Other),Arrow,None,639,639NA.jpg
on-street-parking,On-street parking,Waiting prohibited except for loading and unloading during the period and in the direction indicated,Rectangular,Yellow,Grey/Black,Number (Other),Arrow,None,639,639R.jpg
on-street-parking,On-street parking,Parking for motorised caravans or caravans drawn by motor vehicles,Rectangular,White,Grey/Black,None,Vehicle (Car/Tram/Truck),None,804.3,804.3.jpg
on-street-parking,On-street parking,Parking place for goods vehicles,Rectangular,White,Grey/Black,None,Vehicle (Car/Tram/Truck),None,804.1,804.1.jpg
on-street-parking,On-street parking,Parking place for motor cars,Rectangular,White,Grey/Black,None,Vehicle (Car/Tram/Truck),None,804.2,804.2.jpg
on-street-parking,On-street parking,"Free parking for motor cars only, with restrictions on length of waiting time and return period",Rectangular,White,Grey/Black,Number (Other),Parking [P],Other,661.1,661.1VC.jpg
on-street-parking,On-street parking,"Free parking for motor cycles only, with restrictions on length of waiting time and return period",Rectangular,White,Grey/Black,Number (Other),Parking [P],Other,661.1,661.1VM.jpg
on-street-parking,On-street parking,"Free parking for all vehicles, with restrictions on length of waiting time and return period",Rectangular,White,Grey/Black,Number (Other),Parking [P],Other,661.1,661.1.jpg
on-street-parking,"On-street parking, Information signs",Parking place,Rectangular,Blue,White,None,Parking [P],None,801,801.jpg
on-street-parking,On-street parking,Parking place for solo motor cycles,Rectangular,White,Grey/Black,None,Cycle/Motorcycle,None,804.4,804.4.jpg
on-street-parking,On-street parking,Parking place reserved for disabled badge holders,Rectangular,White,Grey/Black,Other,Parking [P],Other,661.01,661A.jpg
on-street-parking,On-street parking,Parking place reserved for doctor permit holders,Rectangular,White,Grey/Black,Other,Parking [P],None,660,660VD.jpg
on-street-parking,On-street parking,'Pay and display' ticket-regulated parking place,Rectangular,White,Grey/Black,Other,Parking [P],Arrow,661.21,661.2A.jpg
on-street-parking,On-street parking,Location of 'pay and display' ticket machine,Rectangular,White,Grey/Black,Other,Parking [P],None,661.31,661.3A.jpg
on-street-parking,On-street parking,Parking place reserved for permit holders,Rectangular,White,Grey/Black,Other,Parking [P],None,660,660.jpg
on-street-parking,On-street parking,Parking place reserved for resident permit holders during the time period indicated,Rectangular,White,Grey/Black,Other,Parking [P],None,660.3,660.3.jpg
on-street-parking,On-street parking,Parking place reserved for resident permit holders,Rectangular,White,Grey/Black,Other,Parking [P],None,660,660VR.jpg
on-street-parking,On-street parking,Parking place reserved for voucher parking during the period indicated,Rectangular,White,Grey/Black,Number (Other),Parking [P],Other,660.5,660.5.jpg
on-street-parking,On-street parking,"Waiting prohibited during the period indicated (upper panel), and parking place reserved for doctor permit holders during the periods indicated (lower panel)",Rectangular,White,Grey/Black,Number (Other),Parking [P],Other,660.6,639.1B+660.6.jpg
on-street-parking,On-street parking,"Waiting prohibited during the periods indicated (upper panel), loading prohibited during periods indicated (middle panel), and 'pay and display' ticket-regulated parking available during the period indicated with directions to ticket machine (Lower p",Rectangular,White,Grey/Black,Number (Other),Parking [P],Arrow,660.7,639.1B+660.7.jpg
on-street-parking,On-street parking,"Waiting prohibited during the periods indicated (upper panel), and parking for all vehicles, with restrictions on length of waiting time and return period (lower panel)",Rectangular,Yellow,Grey/Black,Number (Other),Parking [P],None,639.12,639.1BV.jpg
on-street-parking,On-street parking,Parking place for permit holders with limited waiting permitted by others at specified times,Rectangular,White,Grey/Black,Number (Other),Parking [P],Other,660.6,660.6V4T.jpg
on-street-parking,On-street parking,Parking place for permit holders with limited waiting permitted by others at specified times,Rectangular,White,Grey/Black,Number (Other),Parking [P],Other,660.6,660.6V1T.jpg
on-street-parking,On-street parking,Parking place for permit holders with limited waiting permitted by others at specified times,Rectangular,White,Grey/Black,Number (Other),Parking [P],Other,660.6,660.6V2T.jpg
on-street-parking,On-street parking,End of area where vehicles may be parked partially on the verge or footway,Rectangular,Blue,White,None,Parking [P],Vehicle (Car/Tram/Truck),667.2,667.2.jpg
on-street-parking,On-street parking,End of area where vehicles may be parked wholly on the verge or footway,Rectangular,Blue,White,None,Parking [P],Vehicle (Car/Tram/Truck),668.2,668.2.jpg
on-street-parking,On-street parking,Vehicles may be parked partially on the verge or footway in marked bays,Rectangular,Blue,White,Number (Other),Parking [P],Vehicle (Car/Tram/Truck),667.1,667.1A.jpg
on-street-parking,On-street parking,Vehicles may be parked partially on the verge or footway during the period indicated,Rectangular,Blue,White,Number (Other),Parking [P],Vehicle (Car/Tram/Truck),667.1,667.1.jpg
on-street-parking,On-street parking,Vehicles may be parked partially on the verge or footway,Rectangular,Blue,White,Other,Parking [P],Vehicle (Car/Tram/Truck),667,667.jpg
on-street-parking,On-street parking,Vehicles may be parked wholly on the verge or footway,Rectangular,Blue,White,None,Parking [P],Vehicle (Car/Tram/Truck),668,668.jpg
on-street-parking,On-street parking,Bay reserved for loading and unloading by goods vehicles,Rectangular,White,Grey/Black,Other,Other,None,660.4,660.4G.jpg
on-street-parking,On-street parking,Bay reserved for loading and unloading by goods vehicles during the period indicated,Rectangular,White,Grey/Black,Other,Other,None,660.4,660.4GT.jpg
on-street-parking,On-street parking,"Bay reserved for loading and unloading by goods vehicles during the period indicated, and waiting prohibited during the period indicated",Rectangular,White,Grey/Black,Other,Other,None,660.4,939.1B+660.4GT.jpg
on-street-parking,On-street parking,Bay reserved for loading and unloading,Rectangular,White,Grey/Black,Other,Other,None,660.4,660.4.jpg
on-street-parking,On-street parking,Entrance to a controlled parking zone,Rectangular,White,Grey/Black,Zone,Other,None,663,663V1.jpg
on-street-parking,On-street parking,Entrance to a controlled parking zone in operation during the period indicated,Rectangular,White,Grey/Black,Zone,Other,None,663,663.jpg
on-street-parking,On-street parking,End of controlled or voucher parking zone,Rectangular,White,Grey/Black,Zone,Other,None,664,664.jpg
on-street-parking,On-street parking,"Entrance to a controlled parking zone, with loading and unloading prohibited",Rectangular,White,Grey/Black,Zone,Other,None,663,663V2.jpg
on-street-parking,On-street parking,Entrance to a disc and meter parking zone,Rectangular,White,Grey/Black,Zone,Other,None,663,663V3.jpg
on-street-parking,On-street parking,Entrance to a disc parking zone,Rectangular,White,Grey/Black,Zone,Other,None,663,663V4.jpg
on-street-parking,On-street parking,End of designated off-highway loading area in which waiting restriction apply,Rectangular,Yellow,Grey/Black,Other,Other,None,640.5,640.5.jpg
on-street-parking,On-street parking,Entrance to a designated off-highway loading area in which waiting restrictions apply,Rectangular,Yellow,Grey/Black,Vehicle,Other,None,640.3,640.3.jpg
on-street-parking,On-street parking,Waiting prohibited in designated off-highway loading area during the period indicated except by permitted vehicles,Rectangular,Yellow,Grey/Black,Vehicle,Other,None,640.4,640.4.jpg
on-street-parking,On-street parking,Entrance to a meter parking zone,Rectangular,White,Grey/Black,Zone,Other,None,663,663V5.jpg
on-street-parking,On-street parking,Entrance to a pay and display parking zone,Rectangular,White,Grey/Black,Zone,Other,None,663,663V6.jpg
on-street-parking,On-street parking,Entrance to a ticket parking zone,Rectangular,White,Grey/Black,Zone,Other,None,663,663V7.jpg
on-street-parking,On-street parking,Waiting by goods vehicles over a gross weight of 5T prohibited during the periods and in the direction indicated,Rectangular,Yellow,Grey/Black,Number (Other),Vehicle (Car/Tram/Truck),Arrow,640.21,640.2A.jpg
on-street-parking,On-street parking,End of a controlled parking zone applying to goods vehicles over a gross weight of 5T,Rectangular,White,Grey/Black,Zone,Vehicle (Car/Tram/Truck),Other,666,666.jpg
on-street-parking,On-street parking,Entrance to a controlled parking zone applying to goods vehicles over a gross weight of 5T during the period indicated,Rectangular,White,Grey/Black,Number (Other),Vehicle (Car/Tram/Truck),Other,665,665.jpg
on-street-parking,On-street parking,End of a controlled parking zone applying to goods vehicles over a gross weight of 7.5T,Rectangular,White,Grey/Black,Zone,Vehicle (Car/Tram/Truck),Other,666,666V.jpg
on-street-parking,On-street parking,Entrance to a controlled parking zone applying to goods vehicles over a gross weight of 7.5T during the period indicated,Rectangular,White,Grey/Black,Number (Other),Vehicle (Car/Tram/Truck),Other,665,665V.jpg
on-street-parking,On-street parking,Disc zone parking place where the waiting period is limited and display of a disc is required,Rectangular,White,Grey/Black,Zone,Parking [P],None,662,662.jpg
on-street-parking,On-street parking,Entrance to voucher parking zone in operation during the period indicated,Rectangular,White,Grey/Black,Zone,Other,Other,663.1,663.1.jpg
on-street-parking,On-street parking,No stopping on main carriageway,Circular,Blue,Red,None,Other,None,642,642.jpg
on-street-parking,On-street parking,Hazard or prohibition extends for 7 miles,Rectangular,White,Grey/Black,Number (Distance),None,None,570,570V.jpg
on-street-parking,On-street parking,Continuous prohibition on waiting except loading and unloading on the footway,Rectangular,Yellow,Grey/Black,Other,Other,None,637.1,637.1F.jpg
on-street-parking,On-street parking,Continuous prohibition on waiting except loading and unloading on the verge,Rectangular,Yellow,Grey/Black,Other,Other,None,637.1,637.1V.jpg
on-street-parking,On-street parking,Continuous prohibition on waiting except loading and unloading on verge or footway,Rectangular,Yellow,Grey/Black,Other,Other,None,637.1,637.1.jpg
on-street-parking,On-street parking,End of restriction on stopping,Rectangular,Yellow,Grey/Black,Other,Other,None,647,647.jpg
on-street-parking,On-street parking,No stopping during periods indicated except to pick up or set down passengers,Rectangular,Yellow,Grey/Black,Number (Other),Other,None,646,646.jpg
on-street-parking,On-street parking,No stopping in lay-by except in emergency,Rectangular,Yellow,Grey/Black,Other,Other,None,642.3,642.3.jpg
on-street-parking,On-street parking,No stopping for any purpose at any time,Rectangle,White,Red,Other,None,None,0,DR507.jpg
on-street-parking,On-street parking,No stopping for any purpose during the period indicated,Rectangle,White,Red,Other,None,None,0,SR504.jpg
on-street-parking,On-street parking,No stopping for any purpose at any time except buses,Rectangle,White,Red,Other,None,None,0,DR508.jpg
on-street-parking,On-street parking,Entrance to red route clearway,Rectangle,White,Red,Other,None,None,0,CW701.jpg
on-street-parking,On-street parking,Prohibition on stopping by vehicles other than taxis during the period indicated,Rectangular,Yellow,Grey/Black,Number (Other),Other,None,650.1,650.1.jpg
on-street-parking,On-street parking,Continuous prohibition on waiting by vehicles with an exemption for taxis during the period indicated,Rectangular,Yellow,Grey/Black,Number (Other),Other,None,650.3,650.3.jpg
